Institution,STATE,Private,Carnegie R1,MEDSCHOOL,Urbanicity (cat),Land-Grant Institution,Stem program
Albert Einstein/Yeshiva,NY,1,0,1,Urban,0,1
Arizona State University,AZ,0,1,1,Urban,0,1
Auburn University,AL,0,1,1,Semi-Urban,1,1
Ball State University,IN,0,0,0,Semi-Urban,0,1
Baylor College of Medicine,TX,1,1,1,Urban,0,1
Boston University,MA,1,1,1,Urban,0,1
Brandeis University,MA,1,1,0,Urban,0,1
Brigham Young University,UT,1,1,0,Semi-Urban,0,1
Brown University,RI,1,1,1,Urban,0,1
California Institute of Technology,CA,1,1,1,Urban,0,1
Carnegie Mellon University,PA,1,1,1,Urban,0,1
Case Western Reserve University,OH,1,1,1,Urban,0,1
Clemson University,SC,0,1,0,Rural,1,1
Colorado State University,CO,0,1,0,Semi-Urban,1,1
Columbia University,NY,1,1,1,Urban,0,1
Creighton University,NE,1,0,1,Urban,0,1
Dartmouth College,NH,1,1,1,Rural,0,1
Drexel University,PA,1,1,1,Urban,0,1
Duke University,NC,1,1,1,Urban,0,1
East Carolina University,NC,0,1,1,Semi-Urban,0,1
Emory University,GA,1,1,1,Urban,0,1
Florida Atlantic University,FL,0,1,1,Semi-Urban,0,1
Florida State University,FL,0,1,1,Urban,0,1
George Mason University,VA,0,1,0,Semi-Urban,0,1
Georgetown University,DC,1,1,1,Urban,0,1
Georgia Institute of Technology,GA,0,1,0,Urban,0,1
Harvard University,MA,1,1,1,Urban,0,1
Illinois Institute of Technology,IL,1,0,0,Urban,0,1
Illinois State University,IL,0,0,0,Semi-Urban,0,1
Indiana University,IN,0,1,1,Semi-Urban,0,1
Iowa State University,IA,0,1,0,Semi-Urban,1,1
Johns Hopkins University,MD,1,1,1,Urban,0,1
Kansas State University,KS,0,1,0,Semi-Urban,1,1
Kent State University,OH,0,1,1,Semi-Urban,0,1
Lehigh University,PA,1,1,1,Semi-Urban,0,1
Louisiana State University,LA,0,1,1,Urban,1,1
Loyola University Medical Center,IL,1,1,1,Urban,0,1
Medical College of Ohio,OH,0,0,1,Urban,0,1
Medical University of South Carolina,SC,0,1,1,Urban,0,1
Miami University,OH,0,0,1,Rural,0,1
Michigan State University,MI,0,1,1,Semi-Urban,1,1
Michigan Technological University,MI,0,1,0,Rural,0,1
Mississippi State University,MS,0,1,0,Rural,1,1
Montana State University,MT,0,1,0,Semi-Urban,1,1
New Jersey Institute of Technology,NJ,0,1,1,Urban,0,1
New Mexico State University,NM,0,1,1,Semi-Urban,1,1
New York Medical College,NY,1,0,1,Semi-Urban,0,1
New York University,NY,1,1,1,Urban,0,1
North Carolina State University,NC,0,1,0,Semi-Urban,1,1
North Dakota State University,ND,0,1,0,Semi-Urban,1,1
Northeastern University,MA,1,1,0,Urban,0,1
Northern Illinois University,IL,0,0,0,Semi-Urban,0,1
Ohio State University,OH,0,1,1,Urban,1,1
Ohio University,OH,0,1,1,Rural,0,1
Oklahoma State University,OK,0,1,1,Semi-Urban,1,1
Oregon Health Sciences University,OR,0,0,1,Urban,0,1
Oregon State University,OR,0,1,0,Semi-Urban,1,1
Penn State University,PA,0,1,1,Rural,1,1
Portland State University,OR,0,0,1,Urban,0,1
Princeton University,NJ,1,1,0,Semi-Urban,0,1
Purdue University,IN,0,1,1,Semi-Urban,1,1
Rice University,TX,1,1,0,Urban,0,1
Rutgers the State University of NJ,NJ,0,1,1,Semi-Urban,1,1
SUNY,NY,0,0,1,,0,1
Southern Illinois University,IL,0,1,1,Rural,0,1
St. Louis University,MO,1,1,1,Urban,0,1
Stanford University,CA,1,1,1,Semi-Urban,0,1
Stevens Institute of Technology,NJ,1,0,1,Urban,0,1
Syracuse University,NY,1,1,0,Urban,0,1
Temple University,PA,0,1,1,Urban,0,1
Texas A&M University System,TX,0,0,1,,1,1
Thomas Jefferson University,PA,1,0,1,Urban,0,1
Tufts University,MA,1,1,1,Urban,0,1
Tulane University,LA,1,1,1,Urban,0,1
University of Akron,OH,0,0,1,Urban,0,1
University of Alabama in Birmingham (UAB),AL,0,1,1,Urban,0,1
University of Alabama in Huntsville (UAH),AL,0,0,0,Urban,0,1
University of Arizona,AZ,0,1,1,Urban,1,1
University of Arkansas,AR,0,1,1,Semi-Urban,1,1
University of California System,CA,0,0,1,,1,1
University of Central Florida,FL,0,1,1,Urban,0,1
University of Chicago,IL,1,1,1,Urban,0,1
University of Cincinnati,OH,0,1,1,Urban,0,1
University of Colorado,CO,0,1,1,Semi-Urban,0,1
University of Connecticut,CT,0,1,1,Rural,1,1
University of Dayton,OH,1,1,0,Urban,0,1
University of Delaware,DE,0,1,1,Semi-Urban,1,1
University of Denver,CO,1,1,0,Urban,0,1
University of Florida,FL,0,1,1,Semi-Urban,1,1
University of Georgia,GA,0,1,1,Semi-Urban,1,1
University of Hawaii,HI,0,1,1,Urban,1,1
University of Houston,TX,0,1,1,Urban,0,1
University of Idaho,ID,0,1,1,Rural,1,1
University of Illinois At Chicago,IL,0,1,1,Urban,0,1
University of Illinois Urbana Champaign,IL,0,1,1,Semi-Urban,1,1
University of Iowa,IA,0,1,1,Semi-Urban,0,1
University of Kansas,KS,0,1,1,Semi-Urban,1,1
University of Kentucky,KY,0,1,1,Urban,1,1
University of Louisville,KY,0,1,1,Urban,0,1
University of Maine,ME,0,1,1,Rural,1,1
University of Maryland Baltimore,MD,0,1,1,Urban,0,1
University of Maryland Baltimore County,MD,0,1,1,Semi-Urban,0,1
University of Maryland College Park,MD,0,1,1,Semi-Urban,1,1
University of Massachusetts Amherst,MA,0,1,1,Rural,1,1
University of Massachusetts Medical Center,MA,0,0,1,Urban,0,1
University of Miami,FL,1,1,1,Urban,0,1
University of Michigan,MI,0,1,1,Semi-Urban,0,1
University of Minnesota,MN,0,1,1,Urban,1,1
University of Missouri System,MO,0,0,1,,1,1
University of Montana,MT,0,1,1,Semi-Urban,0,1
University of Nebraska,NE,0,1,1,Urban,1,1
University of New Hampshire,NH,0,1,0,Rural,1,1
University of New Mexico,NM,0,1,1,Urban,1,1
University of New Orleans,LA,0,0,0,Urban,0,1
University of North Carolina Chapel Hill,NC,0,1,1,Semi-Urban,0,1
University of North Dakota,ND,0,1,1,Semi-Urban,0,1
University of North Texas,TX,0,1,1,Semi-Urban,0,1
University of Notre Dame,IN,1,1,0,Urban,0,1
University of Oklahoma,OK,0,1,1,,0,1
University of Oregon,OR,0,1,0,Semi-Urban,0,1
University of Pennsylvania,PA,1,1,1,Urban,0,1
University of Pittsburgh,PA,0,1,1,Urban,0,1
University of Rhode Island,RI,0,1,0,Rural,1,1
University of Rochester,NY,1,1,1,Urban,0,1
University of South Alabama,AL,0,0,1,Urban,0,1
University of South Carolina,SC,0,1,1,Urban,0,1
University of South Florida,FL,0,1,1,Urban,0,1
University of Tennessee,TN,0,1,1,Urban,1,1
University of Texas Hlth Sci Ctr San Antonio,TX,0,1,1,Urban,0,1
University of Texas Houston Hlth. Sci. Ctr_,TX,0,1,1,Urban,0,1
University of Texas Medical Branch (Galveston),TX,0,0,1,Semi-Urban,0,1
University of Texas Southwestern Med. Ctr_,TX,0,1,1,Urban,0,1
University of Texas at Austin,TX,0,1,1,Urban,0,1
University of Tulsa,OK,1,0,0,Urban,0,1
University of Utah,UT,0,1,1,Urban,0,1
University of Vermont,MA,0,1,1,Semi-Urban,1,1
University of Virginia,VA,0,1,1,Semi-Urban,0,1
University of Washington,WA,0,1,1,Urban,0,1
University of Wisconsin-Madison,WI,0,1,1,Urban,1,1
Utah State University,UT,0,0,0,Semi-Urban,1,1
Vanderbilt University,TN,1,1,1,Urban,0,1
Virginia Commonwealth University,VA,0,1,1,Urban,0,1
Virginia Tech,VA,0,1,1,Semi-Urban,1,1
Wake Forest University,NC,1,0,1,Urban,0,1
Washington State University,WA,0,1,1,Rural,1,1
Washington University in St. Louis,MO,1,1,1,Urban,0,1
Wayne State University,MI,0,1,1,Urban,0,1
West Virginia University,WV,0,1,1,Semi-Urban,1,1
Yale University,CT,1,1,1,Urban,0,1
