rank,ncses_name,total_rd_2008,federal_rd_2008,state_local_rd_2008,industry_rd_2008,institution_rd_2008,other_rd_2008
1,"Johns Hopkins U., Thea",1680927,1425100,6694,39183,86669,123281
2,"U. CA, San Francisco",885182,472642,27623,46476,158133,180308
3,U. WI Madison,881777,474440,36830,20796,270406,79305
4,U. MI all campuses,876390,592768,4953,40696,192650,45323
5,"U. CA, Los Angeles",871478,471932,22600,47096,186194,143656
6,"U. CA, San Diego",842027,490963,30649,49878,141291,129246
7,Duke U.,766906,451317,19320,152073,90965,53231
8,U. WA,765135,614069,10634,74002,40965,25465
9,U. PA,708244,482321,17192,50894,61327,96510
10,OH State U. all campuses,702592,335121,99329,127604,102631,37907
11,PA State U. all campuses,701130,406528,67916,99074,125995,1617
12,Stanford U.,688225,509477,13557,59645,53178,52368
13,U. MN all campuses,682662,364137,62266,28605,123238,104416
14,MA Institute of Technology,659626,495008,802,87220,10586,66010
15,Cornell U. all campuses,653996,358944,75460,25544,123011,71037
16,"U. CA, Davis",642519,268957,56078,33575,215037,68872
17,U. Pittsburgh all campuses,595627,456172,14807,12397,83439,28812
18,"U. CA, Berkeley",591770,249163,43969,41568,168035,89035
19,U. FL,584170,230999,111114,31811,175266,34980
20,TX A&M U.,582365,245607,124139,43421,157163,12035
21,Washington U. St. Louis,563967,393918,15331,13580,88979,52159
22,U. TX M. D. Anderson Cancer Ctr.,558503,194889,149429,40625,100042,73518
23,Columbia U. in the City of New York,548704,461029,9958,12724,48349,16644
24,U. AZ,545869,277897,31370,11325,186912,38365
25,U. CO all campuses,535556,437393,6043,17971,44440,29709
26,U. NC Chapel Hill,525843,373098,23911,9900,118934,0
27,GA Institute of Technology all campuses,522136,281184,15517,55592,168333,1510
28,U. Southern CA,519543,348713,6905,58328,105597,0
29,U. IL Urbana-Champaign,501279,266912,36930,20722,161848,14867
30,U. TX Austin,493294,324287,20318,42513,80872,25304
31,Yale U.,487285,374551,4245,12692,23330,72467
32,Northwestern U.,483881,264984,4280,15103,151759,47755
33,Harvard U.,453028,383330,2088,14446,0,53164
34,Baylor C. of Medicine,449301,262498,3505,20051,68290,94957
35,Emory U.,441222,291126,7029,9961,55678,77428
36,Purdue U. all campuses,429988,176592,50145,63843,137708,1700
37,Vanderbilt U.,422622,331296,402,7434,58008,25482
38,Case Western Reserve U.,416077,305483,14286,4873,57782,33653
39,IN U. all campuses,411939,186711,6836,22223,132605,63564
40,"U. AL Birmingham, The",404615,303084,296,10182,67623,23430
41,U. MD College Park,395037,236417,26148,11140,109100,12232
42,LA State U. all campuses,391234,150298,89055,18767,108652,24462
43,U. TX Southwestern Medical Ctr. Dallas,390349,201480,49262,22960,34701,81946
44,U. MD Baltimore,379407,169026,18178,40670,103337,48196
45,U. Rochester,375218,276268,10918,27151,38572,22309
46,VA Polytechnic Institute and State U.,373281,135578,100311,20475,96331,20586
47,NC State U.,366137,131412,113385,41311,79840,189
48,"Scripps Research Institute, The",366047,265657,1610,22811,55827,20142
49,U. Chicago,357278,284616,7608,7025,29650,28379
50,MI State U.,356767,152907,47068,10955,128808,17029
51,U. GA,350299,102817,43312,5001,188166,11003
52,U. NE all campuses,349220,136317,8801,16328,157690,30084
53,U. Cincinnati all campuses,344046,221186,20493,7513,77348,17506
54,SUNY Buffalo all campuses,338300,157578,16823,21433,96916,45550
55,U. KY all campuses,336669,154811,48013,9253,98723,25869
56,U. IL Chicago,335138,196520,11987,9015,94521,23095
57,"U. CA, Irvine",324552,178299,16691,17111,68775,43676
58,"Rutgers, The State U. NJ all campuses",323404,140399,36474,12216,102424,31891
59,NY U.,310699,199363,6126,7005,40420,57785
60,OR Health & Science U.,301396,232208,4569,16612,25229,22778
61,Mt. Sinai School of Medicine,296380,253319,2488,13811,7115,19647
62,CO State U.,295235,208925,12860,18068,43938,11444
63,U. IA,293564,229903,9122,6433,32549,15557
64,U. South FL,278419,169911,28840,22501,57121,46
65,WA State U.,276806,97668,48653,6923,110854,12708
66,CA Institute of Technology,272881,243624,1979,5340,6771,15167
67,U. HI Manoa,271835,194508,17578,26921,28132,4696
68,SUNY Albany,270414,108747,56121,25560,45761,34225
69,AZ State U.,259503,125558,22856,16126,84065,10898
70,U. VA all campuses,257651,219429,1140,6414,18780,11888
71,Boston U.,255022,235153,576,6343,0,12950
72,U. UT,253891,171737,1374,14466,51106,15208
73,SUNY Stony Brook all campuses,252745,106419,29990,5396,103869,7071
74,U. TN all campuses,250188,120289,48222,17247,50416,14014
75,Wayne State U.,249210,115904,10338,12719,74893,35356
76,Rockefeller U.,247505,81557,242,2060,147196,16450
77,U. MO-Columbia,244639,108131,15715,2140,107782,10871
78,U. Miami,241775,165986,5376,24715,15590,30108
79,U. of Medicine and Dentistry NJ,230347,122061,12440,17174,53930,24742
80,U. CT all campuses,225904,119915,10295,9564,68006,18124
81,IA State U.,224368,102771,44000,13373,56908,7316
82,U. KS all campuses,215364,122401,5881,3342,74579,9161
83,MS State U.,210951,105327,34178,8525,62921,0
84,Carnegie Mellon U.,210619,170978,3633,15274,13900,6834
85,"U. CA, Santa Barbara",203719,111601,4184,15542,41024,31368
86,U. TX Health Science Ctr. San Antonio,201323,121758,4983,5567,50406,18609
87,Wake Forest U.,199915,146298,18795,14362,7058,13402
88,U. NM main campus,197630,134783,4328,6922,48143,3454
89,Yeshiva U.,197311,143866,0,1731,39505,12209
90,U. TX Health Science Ctr. Houston,197252,129277,15040,7519,26698,18718
91,Clemson U.,195195,56535,24188,13573,97131,3768
92,Princeton U.,194757,125102,1459,5746,51947,10503
93,U. OK all campuses,192070,91578,17590,13934,56408,12560
94,Medical U. SC,189369,102187,1428,13106,66737,5911
95,OR State U.,188056,113614,37823,3373,29928,3318
96,Dartmouth C.,186938,121306,4904,6376,39690,14662
97,FL State U.,182314,110618,9787,638,52386,8885
98,U. TX Medical Branch,180026,122009,6668,6403,28640,16306
99,U. MA Worcester,178614,145113,895,15192,2626,14788
100,U. SC all campuses,172378,98576,2039,3435,53077,15251
101,Medical C. WI,165529,111602,701,2380,35732,15114
102,Brown U.,157670,95145,713,2768,54807,4237
103,George Washington U.,157145,119100,4607,2538,11099,19801
104,Tulane U.,153242,109152,8309,1084,19455,15242
105,U. MA Amherst,152884,79736,4699,8182,49556,10711
106,Woods Hole Oceanographic Institution,150720,117587,427,2744,12543,17419
107,U. Louisville,148936,72711,12300,2390,41541,19994
108,VA Commonwealth U.,148655,95369,14534,9440,24380,4932
109,Auburn U. all campuses,146984,54748,2719,3841,81243,4433
110,UT State U.,146128,88884,26933,4089,20019,6203
111,Georgetown U.,142623,111590,1331,1736,11694,16272
112,WV U.,139770,68147,4649,4782,60591,1601
113,Tufts U.,139528,95620,926,11058,11387,20537
114,NM State U. main campus,138427,86636,17186,1995,30707,1903
115,KS State U.,137543,52984,41367,3922,31338,7932
116,"U. CA, Santa Cruz",135261,69742,6866,4279,36229,18145
117,"U. CA, Riverside",129605,53780,6577,5829,51147,12272
118,U. DE,125179,84628,7318,5058,23003,5172
