Group,N,Mean,SD,Range,Test,p-value
Private R1,37,0.455,0.046,"[0.361, 0.541]",K-W,0.002***
Public R1,86,0.422,0.045,"[0.326, 0.583]",,
Private R2,8,0.407,0.05,"[0.337, 0.464]",,
Public R2,18,0.43,0.043,"[0.374, 0.516]",,
Urbanicity,,,,,,
Rural,15,0.421,0.039,"[0.373, 0.514]",K-W,0.219
Semi-Rural,48,0.423,0.044,"[0.355, 0.541]",,
City,81,0.436,0.051,"[0.326, 0.583]",,
Land-Grant Institution,,,,,,
Yes,47,0.418,0.04,"[0.355, 0.541]",Rank-sum,0.028**
No,102,0.436,0.049,"[0.326, 0.583]",,
Medical School,,,,,,
Yes,117,0.433,0.047,"[0.326, 0.583]",Rank-sum,0.399
No,32,0.423,0.045,"[0.345, 0.514]",,
