Institution,STATE,Type,Med,LG,Mean_PCI,Latest_PCI,Latest_Year,N,Tone,Clarity,Legal
University of Illinois At Chicago,IL,Public R1,Y,N,0.325843256227176,0.3400792960109947,2023,5,-0.24419895966360033,-0.0674170792003915,-0.6391175208778638
Creighton University,NE,Private R2,Y,N,0.33704140562878815,0.3148984836476415,2019,2,-0.5628975647135287,0.04706190885091871,-0.34477884961316735
University of Tulsa,OK,Private R2,N,N,0.3446730433648707,0.3585797793375,2017,2,-0.5641187046094328,-0.9456022982380943,0.2933172835112591
University of Kansas,KS,Public R1,Y,Y,0.3547293154550048,0.3331191158568182,2001,2,-0.3299264010681932,-0.14552353454834305,-0.09803861716258559
University of Notre Dame,IN,Private R1,N,N,0.36132606165063685,0.3703668839559859,2021,3,-0.22824531202423085,-0.23761467247776533,-0.5536908514234159
Brigham Young University,UT,Private R1,N,N,0.36197198465314173,0.3468896605885416,2019,2,0.2718052401738031,0.1679645062874917,-0.2688118586498318
Iowa State University,IA,Public R1,N,Y,0.36258436421875,0.3474102995,2000,2,0.03164791329309945,-0.2785181947484509,0.6200397759479659
University of Texas at Austin,TX,Public R1,Y,N,0.36334474987570314,0.4056552733141892,2021,8,-0.08629489095944688,-0.6568885059302955,-0.4191176859616095
West Virginia University,WV,Public R1,Y,Y,0.3640445506636327,0.2641640066488095,2019,4,-0.32501802599634777,0.7485435615920069,0.18562701868380593
Florida State University,FL,Public R1,Y,N,0.3669825462805755,0.3669825462805755,1991,1,-0.2536649347222655,0.184848565955947,-0.2377323591783038
Albert Einstein/Yeshiva,NY,Private R2,Y,N,0.36825351628913666,0.379363254882716,2018,3,-0.5026877300738525,0.0882441291039484,0.8855914834195473
North Dakota State University,ND,Public R1,N,Y,0.36981056357990266,0.3475770853,2017,3,-0.12338969763562069,0.21959729589418486,0.023123239415243597
Kent State University,OH,Public R1,Y,N,0.3701059643799663,0.3862940700944444,2016,3,-0.3963348989552549,-0.19373821399265345,0.07287177700830456
University of Illinois Urbana Champaign,IL,Public R1,Y,Y,0.3718372641153619,0.3333093043898148,2023,2,0.023430749513122448,-0.23903553129038413,-0.8454943022852697
Brandeis University,MA,Private R1,N,N,0.3734281721339599,0.3283824539089147,2020,3,-0.019386777389082205,0.19897198814433,0.16847339103099265
