Group,N,Mean,SD,Range,Test,p-value
Private R1,38,0.454,0.048,"[0.337, 0.534]",K-W,0.009***
Public R1,86,0.427,0.051,"[0.328, 0.585]",,
Private R2,8,0.406,0.053,"[0.342, 0.459]",,
Public R2,18,0.441,0.058,"[0.376, 0.580]",,
Urbanicity,,,,,,
Rural,15,0.425,0.041,"[0.372, 0.519]",K-W,0.080*
Semi-Rural,48,0.422,0.047,"[0.338, 0.539]",,
City,82,0.442,0.057,"[0.328, 0.585]",,
Land-Grant Institution,,,,,,
Yes,47,0.42,0.047,"[0.338, 0.585]",Rank-sum,0.014**
No,103,0.441,0.054,"[0.328, 0.580]",,
Medical School,,,,,,
Yes,118,0.437,0.054,"[0.328, 0.585]",Rank-sum,0.195
No,32,0.422,0.047,"[0.342, 0.519]",,
