Institution,STATE,Type,Med,LG,Mean_PCI,Latest_PCI,N,Tone,Clarity,Legal
University of Illinois At Chicago,IL,Public R1,Y,N,0.3277916152637188,0.3400792960109947,5,-0.2450173758526878,-0.07111217555955293,-0.6189164912430635
Baylor College of Medicine,TX,Private R1,Y,N,0.33748621758809144,0.3060135322612334,2,-0.32362888315413985,-0.2428543355591666,0.3354646693335981
University of Kansas,KS,Public R1,Y,Y,0.3377498729135725,0.3331191158568182,2,-0.269380782540867,-0.11223484002950106,-0.021783603857369355
University of Tulsa,OK,Private R2,N,N,0.34164983989256,0.3585797793375,2,-0.566750084526873,-0.930965826767631,0.2929938696026711
Albert Einstein/Yeshiva,NY,Private R2,Y,N,0.3447005845913512,0.379363254882716,3,-0.38721709242996255,-0.12949869820233068,0.9317992993352049
Creighton University,NE,Private R2,Y,N,0.34626762312093257,0.3148984836476415,2,-0.46889478986783906,0.16070863760951523,-0.32571776668271374
Iowa State University,IA,Public R1,N,Y,0.35982544336079547,0.3474102995,2,-0.01913815739224302,-0.20173503202835502,0.6972502475886505
North Dakota State University,ND,Public R1,N,Y,0.36289512486861075,0.3475770853,3,-0.1564607590288706,0.20241903992845284,0.00493834242826344
University of Notre Dame,IN,Private R1,N,N,0.3633172150148971,0.3703668839559859,3,-0.0943815195789708,-0.23261801075368171,-0.5875989512832174
California Institute of Technology,CA,Private R1,Y,N,0.3655788992793995,0.4689234790096618,10,0.20805166511685697,-0.0956383850027052,0.31722584626762795
West Virginia University,WV,Public R1,Y,Y,0.3664022597567627,0.2641640066488095,4,-0.35134811337139177,0.7413817058041144,0.21583559792529208
Florida State University,FL,Public R1,Y,N,0.3669825462805755,0.3669825462805755,1,-0.2540256738331014,0.1849556564600503,-0.2379633273540512
University of Texas at Austin,TX,Public R1,Y,N,0.36782078745641916,0.4056552733141892,8,-0.41961190716762126,-0.111780818998145,-0.7673064791113543
Brigham Young University,UT,Private R1,N,N,0.37102137909190186,0.3468896605885416,2,0.44422296875454803,0.1619450536721874,-0.6741155178811085
University of Rhode Island,RI,Public R1,N,Y,0.372260892111034,0.3765426729442307,3,-0.5853757415213822,0.7137997828963819,-0.3876148505051347
Kansas State University,KS,Public R1,N,Y,0.3734736578915663,0.3734736578915663,1,0.2351676743548972,0.4528541307251525,-0.7063436110309439
Washington State University,WA,Public R1,Y,Y,0.3737938479605243,0.4082967147891003,3,0.004025145366344347,0.4274154338505067,-0.378888970196621
University of Maryland College Park,MD,Public R1,Y,Y,0.3744481563356481,0.3744481563356481,1,-0.4961246234189067,-0.0746337799408256,-0.8567594494932844
Kent State University,OH,Public R1,Y,N,0.37449185901820836,0.3862940700944444,3,-0.40111925007712035,-0.09002401573364986,0.06968079385709287
University of Arizona,AZ,Public R1,Y,Y,0.3757862380272037,0.3203766225769021,10,0.029674167377918618,-0.5154799003666929,-0.18095638942601336
University of Alabama in Huntsville (UAH),AL,Public R2,N,N,0.376219379502529,0.3687189112894737,2,-0.592106334527556,-0.3891602369745989,0.7907488471878539
Utah State University,UT,Public R2,N,Y,0.3809960111974733,0.4271218243224637,3,0.02133448571989943,0.3456890950403287,0.4901139272406133
University of North Dakota,ND,Public R1,Y,N,0.3810207857328521,0.3231680172282609,3,-0.2001920870192654,0.05687991242967928,0.6064579768653374
Illinois State University,IL,Public R2,N,N,0.382001763584063,0.4759612672275281,4,-0.02336406486181025,0.08553645983968151,-0.21303851867096324
Brandeis University,MA,Private R1,N,N,0.38491518664012003,0.3283824539089147,3,0.029723864377655493,0.2925909946945042,0.18577400298075694
Louisiana State University,LA,Public R1,Y,Y,0.3851831470939332,0.3663970314863013,8,-0.8729109045065444,-0.8642175481063534,-0.13793705654154328
University of Minnesota,MN,Public R1,Y,Y,0.38712484834966504,0.4083264411893204,3,-0.2466192222812186,-0.824857230523026,-0.7438206194029596
Ohio University,OH,Public R1,Y,N,0.3872931926714286,0.3872931926714286,1,-0.3927751131318011,0.6104770121919533,0.0063777924763388
University of Akron,OH,Public R2,Y,N,0.3885798180593142,0.415608512281884,3,0.09773965206277097,-0.1327352700008644,-0.7735446342862986
Montana State University,MT,Public R1,N,Y,0.38864536635262925,0.4088312334662162,2,-0.08565453585098703,-0.29495451275753537,-0.28999838683180573
University of Washington,WA,Public R1,Y,N,0.38891406573685783,0.3454321187907079,3,-0.11440467827634924,0.16155972291794055,-0.23866475931870684
University of Connecticut,CT,Public R1,Y,Y,0.3906272328893939,0.3906272328893939,1,0.5574059363088337,0.050255884576567704,-0.2837602799655718
University of Colorado,CO,Public R1,Y,N,0.3907484221937125,0.3907484221937125,1,0.1539425700551484,0.1456758384849986,-0.8676661033718205
University of Massachusetts Amherst,MA,Public R1,Y,Y,0.39157707601231523,0.3911196566201299,2,-0.29221577076571326,-0.07101290254776549,-0.06833652253512955
Rutgers the State University of NJ,NJ,Public R1,Y,Y,0.392299304143253,0.4188441860776699,5,0.12480857854285625,0.1980393696258455,-0.4194297124915511
University of Massachusetts Medical Center,MA,Public R2,Y,N,0.39242904803001744,0.3924257088646496,2,-0.28652910797281983,-0.014181756108156848,-0.05983852080696623
Medical College of Ohio,OH,Public R2,Y,N,0.39395424396035733,0.3319578389916666,5,0.20899757590549034,-0.47660323122567916,1.5641881077826039
East Carolina University,NC,Public R1,Y,N,0.3957308105072243,0.4044898749625,3,0.09198124921671401,-0.1191913505732324,1.0799041841731525
University of Arkansas,AR,Public R1,Y,Y,0.39575064886761807,0.4521867878947368,7,-0.12082678660094605,-1.422456350891028,1.4346619671848861
Oregon State University,OR,Public R1,N,Y,0.3970890371259005,0.3645527000888429,3,-0.0934101380939207,-0.6879316135276106,0.1510910968341225
