Institution,Year,Sentence_Cleaned,Sentence_Number
120s_AlbertEinsteinYeshiva_IPPolicy,1985,POLICY ON PATENTS AND LICENSING AGREEMENTS ALBERT EINSTEIN COLLEGE OF MEDICINE of Yeshiva University THE ALBERT EINSTEIN COLLEGE OF MEDICINE OFFICIAL POLICY ON PATENTS AND LICENSING AGREEMENTS Table of Contents Page General Policy Disclosure of Invention to the College Title of Patents and Licensing Agreements Management of Patents Licenses Distribution of Income Publication Committee on Patents Agreement with College I.,1
120s_AlbertEinsteinYeshiva_IPPolicy,1985,General Policy The Albert Einstein College of Medicine of Yeshiva University (hereinafter referred to as the ?€?College?€?) encourages and supports research relating to the advancement of medical knowledge and the publication and the use of the results of such research.,2
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"It recognizes that the research conducted by its faculty, its technical staff, and its students may lead to inventions and discoveries by inventor(s) (hereinafter referred to as ?€?Inventor?€?) which should be patented or licensed for one or more of the following reasons: to protect the public interest, to comply with the requirements of sponsored research grants, fellowship awards, and contracts for research, to promote the development of useful apparatus, processes, and drugs which would not be developed without patent protection, to encourage invention and ensure rewards for the Inventor as herein provided, and to support facilities and the research and education programs of the College of Medicine by means of its share of income derived from commercial licensing and royalties paid for the use of inventions and patents.",3
120s_AlbertEinsteinYeshiva_IPPolicy,1985,The Patent Policy of the College is intended to be consistent with these principles and purposes and not to fetter scientific endeavor or inhibit pursuit of further related research.,4
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"The provisions relating to patents and patent royalties shall whenever used in this Policy Statement, whether specifically mentioned or not, also apply to the commercial licensing and the royalties obtained therefrom for inventions which are not patented but which have commercial value or special technology or special art.",5
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"Disclosure of Invention to the College Faculty, staff, and all students and visiting faculty are required to report to the Dean of the College and/or the Committee on Patents, all inventions resulting from research carried on in connection with projects supported entirely or partly by College resources and as soon as possible after conception or first actual reduction to practice.",7
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"Such reports, on standard forms, should be made sufficiently descriptive to permit the invention to be understood and evaluated for possible filing of a patent application or the development of a commercial licensing agreement.",8
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"In the case of supported research, the Committee on Patents must be advised of any invention disclosure requirements of the granting or sponsoring agency.",9
120s_AlbertEinsteinYeshiva_IPPolicy,1985,It will be the responsibility of the Dean of the College to determine if the College is interested in pursuing a patent or licensing agreement for any invention disclosure.,10
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"Until the College declines to patent, the following shall apply: III.",11
120s_AlbertEinsteinYeshiva_IPPolicy,1985,"Title of Patents and Licensing Agreements Patent rights or licensing agreements resulting from research carried on by faculty members, technical staff members, or students in connection with projects supported entirely or partly by College resources shall be assigned to the College, which shall pay to the Inventor a fixed proportion of the financial returns from the sale or exploitation of such patents in accordance with the provisions of Section VI hereof.",12
