Metric,Value,Notes
Total Institutions (unique),141,R1 and R2 Carnegie universities
Total Policy Documents (inst-year),2627,Institution-year observations with PCI
Policy Years Covered,1991–2023,Historical and current policies
Total Sentences,"58,998",After OCR and cleaning
Mean Sentences per Policy,205.0,Median in parentheses
Median Sentences per Policy,96,
── By Document Type ──,,
  Primary IP/Patent Policies,—,55.5% of corpus (from paper)
  Faculty Inventor Handbooks,—,24.7% of corpus (from paper)
  TTO Procedural Documents,—,19.8% of corpus (from paper)
── By Institutional Type ──,,
  Private R1,38,Carnegie Classification
  Public R1,82,Carnegie Classification
  Private R2,5,Carnegie Classification
  Public R2,16,Carnegie Classification
── Temporal Coverage ──,,
  Pre-Bayh-Dole (<1980),0,3.6% of documents
  1980–2010,1317,41.2% of documents
  2011–2025,1310,55.2% of documents
